State,Suburb,Brand,Address,Postcode,Phone,E10,ULP,PULP,VX98,LPG,Diesel,Biodiesel,Vortex Diesel,Eftpos,Workshop,OpenAllHours,Carwash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,VX95,Longitude,Latitude
VIC,SOUTH YARRA,CALTEX SAFEWAY,262-268 PUNT RD CNR COMMERCIAL RD,3141,03 98201881,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,144.9854000,-37.8454270
VIC,KILSYTH,CALTEX,92-94 CANTERBURY RD CNR LIVERPOOL R,3137,03 97281255,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N,Yes,No,Yes,145.3173690,-37.8184690
NSW,GLOUCESTER,CALTEX,141 CHURCH ST,2422,02 65581815,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,No,No,No,1,No,No,Yes,151.9580290,-32.0124680
NSW,WINGHAM,CALTEX,ISABELLA ST CNR PRIMROSE ST,2429,02 65530144,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.3716510,-31.8682690
WA,WONGAN HILLS,INDEPENDENT,244 WONGAN ROAD,6603,08 96221413,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,N,No,No,Yes,116.7148850,-30.8903680
NSW,CUNDLETOWN,CALTEX,OLD PACIFIC HIGHWAY,2430,02 65539211,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.5064750,-31.8932650
NSW,REVESBY,CALTEX WOOLWORTHS,181 THE RIVER RD CNR URANUS RD,2212,02 97731961,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,151.0170720,-33.9557170
QLD,ARCHER RIVER,INDEPENDENT,LOT 1 PENNISULA DEVT RD VIA COEN,4895,07 40603266,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,142.9424170,-13.4380350
QLD,COEN,INDEPENDENT,32 REGENT STREET,4871,07 40601134,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,No,143.1999220,-13.9442740
QLD,MUSGRAVE,INDEPENDENT,PENNISULA DEVELOPMENT ROAD,4895,07 40603229,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,No,143.5040980,-14.7817160
QLD,CURRIMUNDI,CALTEX,744-746 NICKLIN WAY,4551,07 54937055,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,N,Yes,No,Yes,153.1232700,-26.7716220
QLD,SUNNYBANK HILLS,CALTEX WOOLWORTHS,297 PINELANDS RD,4109,07 32737477,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,153.0563650,-27.6021890
QLD,BUNDABERG,CALTEX,284 GOODWOOD RD,4670,07 41527666,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,1,No,No,Yes,152.3641750,-24.8996350
NSW,MURWILLUMBAH,CALTEX,1-7 BUCHANAN ST,2484,02 66726266,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,153.4093120,-28.3268980
VIC,KEW,CALTEX SAFEWAY,115 WILLSMERE RD CNR EARL ST,3101,03 98537071,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,145.0357980,-37.7952940
NSW,GUNNEDAH,CALTEX,21 ABBOTT ST,2380,02 67425733,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,No,Yes,N,No,No,Yes,150.2558050,-30.9802160
TAS,BAGDAD,CALTEX,MIDLANDS HIGHWAY,7030,03 62686160,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,1,No,No,Yes,147.2231950,-42.6318750
NSW,WOY WOY,CALTEX,66 MEMORIAL AVENUE,2256,02 43431711,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N,Yes,No,No,151.3313270,-33.5068930
NSW,KARIONG,CALTEX,LOT 2 LANGFORD DRIVE CNR MITCHELL D,2250,02 43404171,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,No,151.2937080,-33.4392490
QLD,GRACEMERE,CALTEX,CNR SOMERSET RD & MACQUARIE ST,4702,07 4927 2629,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,,No,No,No,1,No,No,No,150.4367230,-23.4467010
VIC,LOCH,INDEPENDENT,29 VICTORIA STREET,3945,03 56594360,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,Yes,N,No,No,No,145.8207690,-38.4313770
TAS,SOUTH HOBART,CALTEX,272 MACQUARIE ST,7004,03 62231430,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,147.3197420,-42.8909850
WA,HARVEY,CALTEX,46 SOUTHWEST HWY,6220,08 97291256,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,Yes,No,No,115.9054720,-33.0825940
QLD,WANDOAN,CALTEX,ZUPP RD & JERRARD ST,4419,07 4662 2688,No,No,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,1,No,No,No,149.9622390,-26.1262380
NSW,DURAL,CALTEX WOOLWORTHS,917-923 OLD NORTHERN RD,2158,02 96514457,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,151.0281590,-33.6830570
TAS,PREMAYDENA,INDEPENDENT,RA 1 SALTWATER RIVER ROAD,7185,03 62503599,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,147.7729640,-43.0547090
VIC,BACCHUS MARSH,INDEPENDENT,SHOP12 CNR 151 GISBORNE RD & GREY S,3340,03 53674848,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,144.4416810,-37.6594970
SA,POORAKA,CALTEX WOOLWORTHS,898 MAIN NORTH RD,5095,08 83497517,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,Yes,No,Yes,138.6175710,-34.8243850
NSW,EDEN,CALTEX,159 IMLAY ST,2551,02 64961535,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,149.9049060,-37.0629420
SA,NORMANVILLE,INDEPENDENT,81A MAIN ROAD,5204,08 85583185,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,138.3180650,-35.4470480
NSW,MUDGEE,CALTEX WOOLWORTHS,114-116 CHURCH ST,2850,02 63722388,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,N,No,No,Yes,149.5878570,-32.5944650
VIC,SEBASTOPOL,CALTEX,76-82 ALBERT STREET,3356,03 53359476,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,143.8407630,-37.5885440
QLD,LABRADOR NORTH,CALTEX WOOLWORTHS,150 BRISBANE RD,4215,07 55371744,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N,Yes,No,Yes,153.3906980,-27.9346860
VIC,CHILTERN,INDEPENDENT,13-17 CONNESS ST,3683,03 57261260,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,146.6094980,-36.1511770
QLD,ALLIGATOR CREEK,CALTEX,1 ALLENDALE DR,4816,07 47788377,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,7,Yes,No,Yes,146.9282780,-19.3820510
QLD,LABRADOR,CALTEX,69 FRANK ST CNR CENTRAL ST,4215,07 55322477,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,153.4085890,-27.9499020
QLD,LYTTON,CALTEX,2 KITE ST PORT OF BRISBANE,4178,07 3909 3360,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,4,No,No,Yes,153.1644850,-27.4048600
WA,GERALDTON,CALTEX,CNR MULLEWA & RIFLE RANGE RDS,6530,08 99209999,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,Yes,No,N,Yes,No,No,114.6293460,-28.7843360
WA,GERALDTON,CALTEX,381 CHAPMAN ROAD,6530,08 99230444,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,Yes,Yes,N,No,No,No,114.6225110,-28.7417650
WA,WARNBRO,WOOLWORTHS CALTEX,202 WARNBRO SOUND AVE,6169,08 95941902,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,No,No,Yes,N,No,No,Yes,115.7611460,-32.3458540
QLD,ROMA,WOOLWORTHS CALTEX,20 BOWEN ST CNR GREGORY ST,4455,07 46228370,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,,No,No,Yes,N,No,No,Yes,148.7931800,-26.5743170
VIC,CHELSEA,SAFEWAY CALTEX,469-472 NEPEAN HWY,3196,03 97720843,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,,No,No,Yes,N,No,No,Yes,145.1176520,-38.0564990
WA,BENCUBBIN,INDEPENDENT,2 KOORDA BULLFINCH ROAD,6477,08 99208000,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,,No,No,No,N,No,No,No,117.8613500,-30.8100900
NSW,ARMIDALE,CALTEX,6-8 QUEEN ELIZABETH DR,2350,02 67723744,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,151.6511210,-30.5035050
NSW,BRUNSWICK HEADS,CALTEX,5 TWEED ST,2483,02 66851718,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,153.5485780,-28.5377950
NSW,BERKSHIRE PARK,WOOLWORTHS CALTEX,770 RICHMOND RD,2765,02 45726130,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,,No,No,Yes,N,No,No,Yes,150.8448120,-33.7273430
NSW,LENNOX HEAD,CALTEX,BYRON ST,2478,02 66876161,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,153.5882440,-28.7917770
NSW,EAST BALLINA,CALTEX,34 LINKS AVE,2478,02 66866444,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,N,Yes,No,Yes,153.5837220,-28.8510970
QLD,WANGAN,CALTEX,66 MEYER AVE,4871,07 40642265,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,146.0058840,-17.5784980
NSW,CAMDEN,CALTEX,21 BARSDEN ST CNR CAWDOR RD,2570,02 46558172,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,150.6914320,-34.0581440
NSW,ARMIDALE,CALTEX,NEW ENGLAND HIGHWAY,2350,02 67729997,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,151.6158790,-30.5320140
NSW,TAMWORTH,CALTEX,KENT ST CNR KATHLEEN ST,2340,02 67628912,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,1,No,No,Yes,150.9184740,-31.1034550
NSW,EAST TAMWORTH,CALTEX,360 ARMIDALE RD,2340,02 67669366,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,150.9613900,-31.1144750
WA,ROCKINGHAM,CALTEX WOOLWORTHS,29 DIXON ROAD,6168,08 95922443,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,Yes,No,Yes,115.7499000,-32.2771420
NSW,BARHAM,INDEPENDENT,6 MURRAY ST,2732,03 54532306,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,144.1259420,-35.6298810
NSW,KIRRAWEE,CALTEX,487 PRINCES HWY,2232,02 95424984,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N,No,Yes,Yes,151.0802630,-34.0298330
VIC,SHEPPARTON,CALTEX,145-157 NUMURKAH RD,3630,03 58212821,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,Yes,No,No,145.4025130,-36.3561580
NSW,FINLEY,CALTEX,295 MURRAY STREET,2713,03 58831466,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,No,Yes,N,No,No,Yes,145.5733240,-35.6486840
VIC,MORWELL,INDEPENDENT,45 TRAMWAY RD,3840,0428 513 694,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,,No,No,No,N,No,No,No,146.4382490,-38.2383140
VIC,KYNETON,SAFEWAY CALTEX,58 HIGH ST,3444,03 54223714,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,,No,No,Yes,N,No,No,Yes,144.4561670,-37.2507940
NSW,PENRITH,CALTEX,CASTLEREAGH RD CNR LUGARD ST,2750,02 47213000,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,150.6933540,-33.7341660
QLD,MARYBOROUGH NORTH,CALTEX,BRUCE HIGHWAY CNR QUARRY RD,4650,07 41214600,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,2,No,No,Yes,152.6637800,-25.4870850
WA,DIANELLA,CALTEX,382 GRAND PROMENADE,6059,08 92763464,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,Yes,No,N,Yes,No,Yes,115.8701290,-31.8957240
QLD,TIERI,CALTEX,MALVERN AVE CNR GRASSTREE ST,4709,07 49848434,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,1,Yes,No,Yes,148.3455440,-23.0373440
NSW,COBAR,CALTEX,BARRIER HWY,2835,02 68362662,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,No,No,6,No,No,Yes,145.8274870,-31.4965020
NSW,GRAFTON,CALTEX,179 PRINCE ST,2460,02 66423841,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,Yes,No,Yes,152.9372050,-29.6863810
QLD,BELLBOWRIE,CALTEX,3198 MOGGILL RD,4070,07 32027399,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,1,No,No,Yes,152.8867720,-27.5631070
WA,CASTLETOWN ESPERANCE,CALTEX,49 NORSEMAN RD,6450,08 90713791,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,121.8994850,-33.8380460
WA,ESPERANCE,CALTEX WOOLWORTHS,CNR DEMPSTER & HICKS STS,6450,08 90721477,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,121.8940550,-33.8583930
VIC,PIANGIL,CALTEX,82 MURRAY STREET,3597,03 50305309,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,Yes,No,Yes,N,No,No,Yes,143.3102450,-35.0539200
QLD,URANGAN,CALTEX,1571 BOORAL ROAD,4655,07 4128 1148,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,,No,No,No,1,No,No,Yes,152.8888980,-25.3072480
WA,KIRUP,INDEPENDENT,LOT 116 SOUTH WEST HWY,6251,08 97316238,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,115.8943360,-33.7117620
VIC,MILDURA,INDEPENDENT,220 TENTH ST,3500,03 50511700,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,142.1514190,-34.1814970
SA,ST AGNES,CALTEX,1244 NORTH EAST RD,5097,08 83964332,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,138.7131630,-34.8216270
NSW,TOORMINA,CALTEX,2 MINORCA PL CNR TOORMINA RD,2452,02 66533808,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,153.0904700,-30.3523530
WA,DONGARA,CALTEX,3017 BRAND HWY,6525,08 99271014,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,2,No,No,No,114.9495170,-29.2530650
QLD,COOKTOWN,CALTEX,68 HOPE ST,4895,07 40695354,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,145.2506560,-15.4735930
NSW,TWEED HEADS WEST,CALTEX,96-98 KENNEDY DR CNR BARRETT ST,2485,07 55364277,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,Yes,No,Yes,153.5231590,-28.1868220
NSW,TOCUMWAL,CALTEX,54-56 DENILIQUIN ST,2714,03 58742078,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.5699800,-35.8118520
VIC,PORTLAND,CALTEX,50-56 KENNEDY ST,3305,03 55628155,No,No,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,N,No,No,No,141.6002860,-38.3356960
NSW,MOREE,CALTEX,TYCANNAH STREET,2400,02 67521398,No,No,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,N,No,No,No,149.8542730,-29.5037430
NSW,URANQUINTY,CALTEX,28 MORGAN STREET,2652,02 69229659,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,147.2433950,-35.1949010
NSW,HAY,INDEPENDENT,168 LACHLAN ST,2711,02 69931107,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,144.8437320,-34.5077380
NSW,YAMBA,CALTEX,22 TREELANDS DR,2464,02 66469277,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,153.3277150,-29.4267670
WA,COOLGARDIE,CALTEX,110-114 BAYLEY STREET,6429,08 90266049,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,3,Yes,No,Yes,121.1590500,-30.9542600
NSW,GRAFTON SOUTH,CALTEX,PACIFIC HWY CNR GWYDER HWY,2460,02 66435836,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,No,7,Yes,No,Yes,152.9416120,-29.7076790
WA,NORSEMAN,CALTEX,1-7 PRINSEP ST,6443,08 90391174,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,7,Yes,No,Yes,121.7783640,-32.1890890
QLD,GOWRIE JUNCTION,INDEPENDENT,29 OLD HOMEBUSH RD,4352,1300 300014,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,No,151.8897300,-27.4948150
NSW,JUNCTION HILL,CALTEX,5 CASINO ROAD,2460,02 66447381,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.9261170,-29.6413640
NSW,GUYRA,CALTEX,4352 NEW ENGLAND HWY,2365,02 67791462,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,No,No,7,No,No,Yes,151.6751980,-30.2059760
QLD,TIN CAN BAY,INDEPENDENT,130 EMPEROR ST,4580,07 54864554,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,,No,No,No,1,No,No,No,152.9979070,-25.9151620
TAS,SNUG,CALTEX,2243 CHANNEL HIGHWAY,7054,03 62679160,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,N,No,No,Yes,147.2565040,-43.0688010
WA,CATABY,CALTEX,160 KM PEG BRAND HIGHWAY,6507,08 96512024,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,No,7,No,No,No,115.5376960,-30.7359520
VIC,SYDENHAM,CALTEX,CNR OVERTON LEA BVD & KEILOR-MELTON,3038,03 9390 3081,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,144.7661730,-37.6945440
WA,MANDURAH,CALTEX,LOT 50 FREMANTLE RD,6210,08 95817355,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2,Yes,No,Yes,115.7460100,-32.5002200
QLD,BIBOOHRA VIA MAREEBA,AMPOL,1 BILWON RD,4880,07 40932545,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,145.4225690,-16.9157070
SA,JAMESTOWN,CALTEX,6 VOHR STREET,5491,08 86641235,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,138.6035070,-33.2030620
NSW,EVANS HEAD,INDEPENDENT,570 WOODBURN ROAD,2473,02 66824974,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,153.4279090,-29.1141140
NSW,BALRANALD,CALTEX,99 MARKET ST,2715,03 50201603,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,143.5686780,-34.6436440
VIC,KERANG,CALTEX,88 BENDIGO RD,3579,03 54503066,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,143.9193110,-35.7397200
VIC,MILDURA,CALTEX,CNR WALNUT & 15TH STS,3500,03 50211734,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,142.1311570,-34.2026010
VIC,MILDURA,CALTEX,90 SEVENTH ST,3500,03 50238085,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,142.1685790,-34.1868850
VIC,MILDURA,CALTEX,240 TENTH ST,3500,03 50232827,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,Yes,N,No,No,No,142.1495810,-34.1799520
VIC,OUYEN,CALTEX,15 FARRELL ST,3490,03 50921340,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,142.3191690,-35.0698720
VIC,ROBINVALE,CALTEX,70 BROMLEY RD,3549,03 50263539,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,142.7703370,-34.5833040
VIC,SEA LAKE,CALTEX,155 HORACE ST,3533,03 50701406,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,142.8480670,-35.4968210
VIC,SWAN HILL,CALTEX,1 BEVERIDGE ST,3585,03 50329327,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,143.5567670,-35.3339510
VIC,BENDIGO,CALTEX,68 CARPENTER ST,3550,03 54432338,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,No,144.2850660,-36.7761310
VIC,BENDIGO,CALTEX,93-97 MCIVOR ROAD,3550,03 54411156,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,144.2985960,-36.7581000
VIC,BENDIGO,CALTEX,51 SANDHURST RD,3550,03 54468085,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,144.2645020,-36.7329360
VIC,CHARLTON,CALTEX,166-186 HIGH STREET,3525,03 54911310,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,Yes,No,Yes,1,No,No,Yes,143.3595230,-36.2742370
VIC,ECHUCA,CALTEX,4 NORTHERN HWY,3564,03 54821541,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,1,No,No,Yes,144.7473560,-36.1244790
VIC,WODONGA,CALTEX,16-18 HOVELL ST,3690,02 60244933,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,146.8956600,-36.1138820
NSW,LEETON,CALTEX,1 PINE AVENUE,2705,02 69535236,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,146.3996940,-34.5515750
NSW,NARRANDERA,CALTEX,NEWELL HWY,2700,02 69591812,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,1,No,No,Yes,146.5402100,-34.7613400
VIC,NUMURKAH,CALTEX,2 TOCUMWAL RD,3636,03 58621481,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,145.4425910,-36.0884020
VIC,SHEPPARTON,CALTEX,187 WYNDHAM ST,3630,03 58221166,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,145.4001150,-36.3776470
NSW,TARCUTTA,CALTEX,HUME HWY,2652,02 69287177,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,No,1,No,No,Yes,147.7358500,-35.2774900
NSW,TUMUT,CALTEX,42-44 ADELONG RD,2720,02 69476611,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,148.2131720,-35.2955840
VIC,WODONGA,CALTEX,178 MELBOURNE RD,3690,02 60241977,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,1,No,No,Yes,146.8698480,-36.1152570
NSW,ALBURY,CALTEX,127 NORTH ST,2640,02 60413404,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,146.9443450,-36.0706060
VIC,BENALLA,CALTEX,191 BRIDGE ST,3672,03 57625881,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.9954260,-36.5490180
NSW,BROKEN HILL,CALTEX,84 PATTON ST,2880,08 80873653,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,No,N,No,No,No,141.4602560,-31.9804610
VIC,COBRAM,CALTEX,88-94 STATION ST,3644,03 58711423,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,N,No,No,Yes,145.6462350,-35.9240710
NSW,HOLBROOK,CALTEX,130 ALBURY ST,2644,02 60362577,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,No,147.3164070,-35.7210170
VIC,MYRTLEFORD,CALTEX,158 MYRTLE ST,3737,03 57521220,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,146.7235230,-36.5605440
VIC,SERPENTINE,CALTEX,LODDON VALLEY HWY,3517,03 54378385,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,Yes,1,No,No,No,143.9749800,-36.4124800
